time,tescoshare,logtescoshare
1971,0.0720,-2.63108916
1974,0.0860,-2.453407983
1977,0.0830,-2.488914671
1978,0.1240,-2.087473713
1982,0.1430,-1.944910649
1984,0.1190,-2.128631786
1986,0.1340,-2.009915479
1987,0.1200,-2.120263536
1988,0.1480,-1.910543005
1990,0.1570,-1.851509474
1992,0.1720,-1.760260802
1993,0.1800,-1.714798428
1994,0.1830,-1.698269126
1995,0.2080,-1.570217199
1996,0.2150,-1.537117251
1997,0.2260,-1.48722028
1998,0.2300,-1.46967597
1999,0.2370,-1.439695138
2000,0.2500,-1.386294361
2001,0.2520,-1.378326191
2002,0.2590,-1.350927217
2003,0.2700,-1.30933332
2004,0.2800,-1.272965676
2005,0.3040,-1.190727578
2006,0.3110,-1.167962367
2007,0.3130,-1.161552088
2008,0.3110,-1.167962367
2009,0.3070,-1.180907531
2010,0.3060,-1.184170177
2011,0.3040,-1.190727578
2012,0.3060,-1.184170177
2013,0.2990,-1.207311706
2014,0.2910,-1.234432012
2015,0.2840,-1.258781041
2016,0.2830,-1.262308381
2017,0.2820,-1.265848208
2018,0.2780,-1.280134165
