time,sainsburyshare,logsainsburyshare
1978,0.1060,-2.244316185
1982,0.1450,-1.931021537
1984,0.1160,-2.154165088
1987,0.1230,-2.095570924
1988,0.1450,-1.931021537
1989,0.1580,-1.845160246
1990,0.1630,-1.814005078
1992,0.1950,-1.63475572
1993,0.1960,-1.62964062
1994,0.2000,-1.609437912
1995,0.1910,-1.655481851
1996,0.1970,-1.62455155
1997,0.1960,-1.62964062
1998,0.1900,-1.660731207
1999,0.1820,-1.703748592
2000,0.1790,-1.720369473
2001,0.1780,-1.725971729
2002,0.1710,-1.766091722
2003,0.1620,-1.820158944
2004,0.1570,-1.851509474
2005,0.1590,-1.838851077
2006,0.1620,-1.820158944
2007,0.1630,-1.814005078
2008,0.1620,-1.820158944
2009,0.1630,-1.814005078
2010,0.1660,-1.795767491
2011,0.1630,-1.814005078
2012,0.1700,-1.771956842
2013,0.1690,-1.777856564
2014,0.1640,-1.807888851
2015,0.1630,-1.814005078
2016,0.1650,-1.801809805
2017,0.1640,-1.807888851
2018,0.1620,-1.820158944
