time,asdashare,logasdashare
1970,0.0150,-4.199705078
1973,0.0250,-3.688879454
1976,0.0470,-3.057607677
1978,0.0630,-2.764620553
1980,0.0800,-2.525728644
1982,0.0930,-2.375155786
1984,0.0720,-2.63108916
1987,0.0720,-2.63108916
1988,0.0790,-2.538307427
1990,0.0940,-2.364460497
1992,0.0940,-2.364460497
1993,0.0950,-2.353878387
1994,0.0990,-2.312635429
1995,0.1070,-2.234926445
1996,0.1180,-2.137070655
1997,0.1250,-2.079441542
1998,0.1300,-2.040220829
1999,0.1320,-2.024953356
2000,0.1410,-1.958995389
2001,0.1470,-1.917322692
2002,0.1610,-1.826350914
2003,0.1620,-1.820158944
2004,0.1660,-1.795767491
2005,0.1650,-1.801809805
2006,0.1660,-1.795767491
2007,0.1670,-1.789761467
2008,0.1700,-1.771956842
2009,0.1700,-1.771956842
2010,0.1690,-1.777856564
2011,0.1710,-1.766091722
2012,0.1730,-1.754463684
2013,0.1760,-1.737271284
2014,0.1720,-1.760260802
2015,0.1690,-1.777856564
2016,0.1550,-1.864330162
2017,0.1530,-1.877317358
2018,0.1520,-1.883874758
