time,morrisonshare,logmorrisonshare
1987,0.0090,-4.710530702
1989,0.0120,-4.422848629
1990,0.0140,-4.268697949
1991,0.0170,-4.074541935
1992,0.0170,-4.074541935
1993,0.0190,-3.9633163
1994,0.0360,-3.324236341
1995,0.0400,-3.218875825
1996,0.0420,-3.170085661
1997,0.0400,-3.218875825
1998,0.0430,-3.146555163
1999,0.0430,-3.146555163
2000,0.0490,-3.015934981
2001,0.0540,-2.918771232
2002,0.0570,-2.864704011
2003,0.0600,-2.813410717
2005,0.1150,-2.162823151
2006,0.1130,-2.18036746
2007,0.1120,-2.189256408
2008,0.1140,-2.171556831
2009,0.1160,-2.154165088
2010,0.1200,-2.120263536
2011,0.1200,-2.120263536
2012,0.1190,-2.128631786
2013,0.1170,-2.145581344
2014,0.1110,-2.198225078
2015,0.1100,-2.207274913
2016,0.1080,-2.225624052
2017,0.1060,-2.244316185
2018,0.1060,-2.244316185
