time,aldishare,logaldishare
1994,0.0030,-5.80914299
1995,0.0080,-4.828313737
1996,0.0090,-4.710530702
1997,0.0080,-4.828313737
1998,0.0080,-4.828313737
1999,0.0160,-4.135166557
2000,0.0150,-4.199705078
2001,0.0130,-4.342805922
2002,0.0170,-4.074541935
2005,0.0220,-3.816712826
2006,0.0250,-3.688879454
2007,0.0250,-3.688879454
2008,0.0290,-3.540459449
2009,0.0290,-3.540459449
2010,0.0310,-3.473768074
2011,0.0320,-3.442019376
2012,0.0320,-3.442019376
2013,0.0390,-3.244193633
2014,0.0480,-3.036554268
2015,0.0530,-2.937463365
2016,0.0620,-2.780620894
2017,0.0680,-2.688247574
2018,0.0740,-2.603690186
,,
