time,coopshare,logcoopshare
1980,0.0900,-2.407945609
1987,0.0760,-2.577021939
1989,0.0760,-2.577021939
1990,0.0820,-2.501036032
1991,0.0810,-2.513306124
1992,0.0760,-2.577021939
1993,0.0690,-2.673648774
1994,0.0660,-2.718100537
1995,0.0650,-2.733368009
1996,0.0610,-2.796881415
1997,0.0590,-2.830217835
1998,0.0470,-3.057607677
1999,0.0620,-2.780620894
2000,0.0540,-2.918771232
2001,0.0500,-2.995732274
2003,0.0520,-2.95651156
2004,0.0500,-2.995732274
2007,0.0470,-3.057607677
2008,0.0810,-2.513306124
2009,0.0770,-2.563949857
2010,0.0650,-2.733368009
2013,0.0630,-2.764620553
2014,0.0620,-2.780620894
2015,0.0610,-2.796881415
2016,0.0630,-2.764620553
2017,0.0580,-2.847312268
2018,0.0590,-2.830217835
