time,lidlshare,loglidlshare
1995,0.0030,-5.80914299
1996,0.0050,-5.298317367
1997,0.0060,-5.11599581
1998,0.0070,-4.96184513
1999,0.0100,-4.605170186
2000,0.0130,-4.342805922
2001,0.0140,-4.268697949
2002,0.0140,-4.268697949
2004,0.0180,-4.017383521
2005,0.0210,-3.863232841
2006,0.0210,-3.863232841
2007,0.0220,-3.816712826
2008,0.0230,-3.772261063
2009,0.0230,-3.772261063
2010,0.0240,-3.729701449
2011,0.0260,-3.649658741
2012,0.0280,-3.575550769
2013,0.0310,-3.473768074
2014,0.0350,-3.352407217
2015,0.0370,-3.296837366
2016,0.0460,-3.079113882
2017,0.0510,-2.975929646
2018,0.0540,-2.918771232
