time,waitroseshare,logwaitroseshare
1984,0.0210,-3.863232841
1987,0.0230,-3.772261063
1990,0.0170,-4.074541935
1991,0.0170,-4.074541935
1992,0.0170,-4.074541935
1993,0.0160,-4.135166557
1994,0.0160,-4.135166557
1995,0.0170,-4.074541935
1996,0.0180,-4.017383521
1997,0.0180,-4.017383521
1998,0.0180,-4.017383521
1999,0.0270,-3.611918413
2000,0.0270,-3.611918413
2001,0.0310,-3.473768074
2002,0.0310,-3.473768074
2003,0.0320,-3.442019376
2004,0.0340,-3.381394754
2005,0.0370,-3.296837366
2006,0.0390,-3.244193633
2007,0.0400,-3.218875825
2008,0.0390,-3.244193633
2009,0.0380,-3.270169119
2010,0.0420,-3.170085661
2011,0.0440,-3.123565645
2012,0.0450,-3.101092789
2013,0.0480,-3.036554268
2014,0.0510,-2.975929646
2015,0.0510,-2.975929646
2016,0.0530,-2.937463365
2017,0.0520,-2.95651156
2018,0.0500,-2.995732274
