time,icelandshare,logicelandshare
1989,0.0110,-4.509860006
1990,0.0120,-4.422848629
1991,0.0130,-4.342805922
1992,0.0150,-4.199705078
1993,0.0160,-4.135166557
1994,0.0340,-3.381394754
1995,0.0320,-3.442019376
1996,0.0290,-3.540459449
1997,0.0300,-3.506557897
1998,0.0330,-3.411247718
1999,0.0280,-3.575550769
2000,0.0280,-3.575550769
2001,0.0280,-3.575550769
2002,0.0260,-3.649658741
2003,0.0230,-3.772261063
2004,0.0210,-3.863232841
2005,0.0190,-3.9633163
2006,0.0170,-4.074541935
2007,0.0170,-4.074541935
2008,0.0170,-4.074541935
2009,0.0180,-4.017383521
2010,0.0190,-3.9633163
2011,0.0190,-3.9633163
2012,0.0200,-3.912023005
2013,0.0200,-3.912023005
2016,0.0220,-3.816712826
2017,0.0220,-3.816712826
2018,0.0230,-3.772261063
